CharityRegistrationNumber,Name,StreetAddressLine1,StreetAddressLine2,StreetAddressSuburb,StreetAddressCity,StreetAddressPostcode,StreetAddressCountry,Latitude,Longitude
CC11026-0,NAGHL Group,Louvain House,Louvain Street, ,Whakatane,3120,New Zealand,-37.9554459,176.9930725
CC26412,New Zealand Marist Brothers,Unit 1,381 Great South Road,Ellerslie,Auckland,1051,New Zealand,-36.8985788,174.8030724
CC31028,New Zealand National Eye Bank Group,C/- DEPARTMENT OF OPTHALMOLOGY,85 Park Road,Grafton,Auckland,1023,New Zealand,-36.8620503,174.769671
CC40716,Ngati Mutunga o Wharekauri Iwi Trust Group,Waitangi - Big Bush Road, ,Te One,Chatham Islands,8942,New Zealand,-43.9317571,-176.5272456
CC35565,Ngāi Tahu Charitable Group,Te Whare o Te Waipounamu,15 Show Place,Addington,Christchurch,8024,New Zealand,-43.5426898,172.6022371
CC45577,Nga Kakano Group,50 Jellicoe Street,, ,Te Puke,3119,New Zealand,-37.7849054,176.3287729
CC48057,NZ Heart Foundation,9 Kalmia Street, ,Ellerslie,Auckland,1051,New Zealand,-36.8987466,174.8068291
CC29263,Ostomy Societies Group,15 Totara Place, ,Highfield,Timaru,7910,New Zealand,-44.3942173,171.2146396
CC28304,Otago Southland Rescue Helicopter Group,44 York Place, ,Dunedin Central,Dunedin,9016,New Zealand,-45.8719377,170.5020793
CC41579,Philips Search & Rescue Group,87 Tauhara Road,Taupo 3330,Tauhara,Taupō,3330,New Zealand,-38.6802863,176.0895004
CC23160,The Prema Group,132 Lone Kauri Road,RD 2,Karekare,New Lynn,772,New Zealand,-36.9848868,174.4906956
CC38938,Riding For The Disabled New Zealand,10 Lydney Place South, ,Porirua City Centre,Porirua,5022,New Zealand,-41.1360348,174.8412149
CC29111,Roman Catholic Diocese of Auckland Group,30 New Street, ,Saint Marys Bay,Auckland,1011,New Zealand,-36.845234,174.7480725
CC32634,Roman Catholic Bishop Of The Diocese Of Hamilton Group,51 Grey Street,Hamilton East,Hamilton East,Hamilton,3216,New Zealand,-37.8017834,175.2983732
CC27059,Rotorua Trust Group,1072 Haupapa Street,Rotorua 3010, ,Rotorua,3010,New Zealand,-38.1359034,176.2546565
CC23869,The Roy And Val Allen Charitable Group,C/- Martelli McKegg,P O Box 5745, ,Auckland,1141,New Zealand,-36.8508827,174.7644881
CC42444,Science Alive Group,506 Waterloo Road, ,Islington,Christchurch,8042,New Zealand,-43.5440351,172.4968789
CC23251,The Selwyn Foundation Group,LEVEL 2,1 Nugent Street,Grafton,Auckland,1023,New Zealand,-36.8649293,174.7637218
CC42121,Seventh Day Adventist Church in New Zealand 1,LEVEL 1,18 Fencible Drive,Howick,Auckland,2014,New Zealand,-36.8947987,174.9302897
CC31478,Sisters of Mercy Ministries New Zealand,7 New Street, ,Saint Marys Bay,Auckland,1011,New Zealand,-36.846284,174.7481197
CC36704,Society of St Vincent de Paul in New Zealand Group,LG BUILDING LEVEL 1,35 Victoria Street,Wellington Central,Wellington,6011,New Zealand,-41.2871726,174.7770623
CC41764,Southwell School Group,200 Peachgrove Road, ,Claudelands,Hamilton,3214,New Zealand,-37.774976,175.296799
CC27012,St George's Hospital Group,249 Papanui Road, ,Strowan,Christchurch,8014,New Zealand,-43.5104661,172.6183762
CC35255,St John,St John Ambulance Headquarters,2 Harrison Road,Ellerslie,Auckland,1051,New Zealand,-36.8980294,174.8266619
CC27182,The Summit Road Society Group,35 Awatea Road, ,Hornby,Christchurch,8042,New Zealand,-43.5534107,172.5376829
CC31229,Te Araroa Trust and Te Araroa Regional Trusts,100 Willis Street, ,Wellington Central,Wellington,6011,New Zealand,-41.288629,174.7749103
CC43130,Te Arawa Lakes Trust Group,1159-1161 Pukuatua Street,Rotorua 3010, ,Rotorua,3010,New Zealand,-38.1366971,176.2519907
CC44325,Te Atiawa ki te Upoko o te Ika a Maui Potiki Trust Group,262 Thorndon Quay, ,Pipitea,Wellington,6011,New Zealand,-41.268533,174.7816765
CC40547,Te Hopai Trust Group,51 Hospital Road, ,Newtown,Wellington,6021,New Zealand,-41.307576,174.7809316
CC10819-0,Te Kotahitanga o Te Arawa Waka Fisheries Group,1204 Whakaue Street,Rotorua 3010,Lynmore,Rotorua,3010,New Zealand,-38.1330595,176.2502574
CC23988,Te Runanga O Ngati Whatua Group,193 Lower Dent Street,, ,Whangarei,110,New Zealand,-35.7282941,174.331078
CC37073,Te Runanga O Ngati Ruanui Trust Group,74 Princes Street,Hawera 4610, ,Hawera,4610,New Zealand,-39.5899745,174.2837238
CC40643,Te Runanga o Te Whanau Charitable Trust Group,"R D 3, State Highway 35", ,Te Kaha,Opotiki,3199,New Zealand,-37.7216707,177.710528
CC23299,The Theosophical Society In New Zealand,18 Belvedere Street, ,Epsom,Auckland,1051,New Zealand,-36.8831457,174.7779156
CC23615,The Rebecca Chapel Charitable Group,7 Rebecca Rise, ,Weymouth,Auckland,2103,New Zealand,-37.0385556,174.8643928
CC23653,The Auckland Theatre Group,487 Dominion Road, ,Mount Eden,Auckland,1024,New Zealand,-36.8859492,174.7473972
CC37322,The Salvation Army New Zealand Group,202-204 Cuba Street, ,Te Aro,Wellington,6011,New Zealand,-41.2952376,174.7744819
CC39114,The Board of the Ashton Wylie Charitable Trust,88 Jervois Road, ,Ponsonby ,Auckland,1011,New Zealand,-36.8456225,174.7407795
CC43152,The New Zealand Orthopaedic Association Group,LEVEL 12,39 The Terrace,Wellington Central,Wellington,6011,New Zealand,-41.2799682,174.7755593
CC41415,New Zealand Dental Association Charitable Group,195 Main Highway, ,Ellerslie,Auckland,1051,New Zealand,-36.8996912,174.8143709
CC42972,The Baha'i Community of New Zealand,31 Kingdon Street, ,Newmarket,Auckland,1023,New Zealand,-36.8656005,174.7766686
CC43537,The Shakti Group,153 Rathgar Road,Lincoln North,Henderson,Auckland,610,New Zealand,-36.8602787,174.622375
CC40184,The Christian and Missionary Alliance of New Zealand Group,64C Dundale Avenue, ,Blockhouse Bay,Auckland,600,New Zealand,-36.9126246,174.7146056
